"name","registered","times_kicked","geolocation","nb_player_kills","nb_mob_kills","nb_deaths","avg_ping","nb_sessions","longest_session","avg_session","active_playtime","afk_time","favorite_world"
"El_Newman","1733581537103","0","Canada","7","0","31",NULL,"1","5292235","5292235.0000","5292235","0","Switch_switch_game"
"Ikena_","1733581614741","0","France","13","1","32",NULL,"2","6857440","3463748.5000","6470414","457083","Switch_switch_game"
"Zloumnos","1733581836642","0","France","19","8","20",NULL,"18","5771873","375983.4444","6576902","190800","Switch_switch_game"
"_Quantix_","1733585212294","0","Switzerland","9","2","13",NULL,"4","3362521","899538.5000","3363615","234539","Switch_switch_game"
"Domanail","1733585413143","1","France","10","4","13",NULL,"3","3060663","1057897.3333","3173692","0","Switch_switch_game"
"Benjimpl_","1733586121946","1","France","5","11","5",NULL,"5","2452781","547468.4000","2522441","214901","Switch_switch_game"
"Magestic_Aura","1733587409340","0","France","0","0","2",NULL,"10","1161981","177556.9000","1775569","0","Switch_switch_game"
"Deknnn","1733675249835","0","France","0","0","0",NULL,"2","1033955","539662.0000","1079324","0","S17 - Parrot's Kingdom"
"Olery_","1733675392779","0","France","0","0","0",NULL,"2","913797","461917.5000","923835","0","S17 - Parrot's Kingdom"
"ZephMeg","1733779369497","0","France","0","0","5",NULL,"3","4676840","1631888.3333","4895665","0","BuildSurvisland"
"Guillemelboso","1698510998205","1","France","0","0","6","32.804545454545455","17","8000032","3077184.7059","50075121","2237019","Archon"
"RomainLeRoux","1685213474741","0","France","0","0","6",NULL,"18","14552711","2336687.8333","40077682","1982699","S17 - Parrot's Kingdom"
"Akiraria","1734118369322","3","France","0","0","9","244.375","27","14541504","1901689.5185","51162356","183261","S17 - Parrot's Kingdom"
"ILoveChoca_","1734119091470","0","France","0","0","0",NULL,"10","6928408","966796.6000","9667966","0","S17 - Parrot's Kingdom"
"Scan__","1676818511062","0","France","0","0","0",NULL,"10","8044479","1534837.2000","15348372","0","S17 - Parrot's Kingdom"
"AleksaiUwU","1734119328421","1","Canada","1","0","9",NULL,"15","14546350","2989593.8667","37450764","7393144","S17 - Parrot's Kingdom"
"ANTAGONISTO","1684004367603","0","France","0","0","3",NULL,"18","13193435","2110003.7222","30905859","7074208","S17 - Parrot's Kingdom"
"0ri0n03","1677959185631","0","France","13","109","8","37.9051724137931","20","7226416","942360.1500","18847203","0","RDM_BHC_250316"
"Srangee","1680964177007","0","France","0","30","8",NULL,"10","20663436","3064267.4000","29026171","1616503","LKS_Bancal_S13"
"_Paulo_","1660062988000","0","France","3","80","5","32.73358116480793","31","12033712","2646146.8387","74009958","8020594","DRRPLongue"
"LeFanDeFiredo","1734811629690","6","France","0","36","4","375.3666666666667","17","5387925","586914.1765","9977541","0","RDM_BHC_241221"
"HV_ThePanda","1682950277279","0","France","28","0","30",NULL,"1","3550411","3550411.0000","3550411","0","Switch_switch_game"
"chapichapo24","1735330381268","0","France","0","5","0",NULL,"2","3096301","2180623.0000","4180282","180964","Archon"
"WannaLaFraise","1735681385941","0","France","13","2","24",NULL,"2","4824595","2434171.0000","4868342","0","Switch_switch_game"
"Oompa0Loompa","1736087945374","2","Belgium","38","260","104","35.21457489878542","36","13185798","3981958.7778","132876636","10473880","S22 - Prehistoric Canyon"
"LucLec0","1737203172304","7","Canada","0","0","1","1097.2042253521126","12","6366201","834140.5833","9764999","244688","TribeCivilization"
"solaire336","1737206401286","4","France","1","12","1","112.54811715481172","6","11230569","2628936.0000","15773616","0","TribeCivilization"
"Tltouic","1737207007386","4","France","0","0","2","90.52247191011236","7","8227575","1724534.7143","12071743","0","TribeCivilization"
"Elzariia","1737207114237","6","France","0","0","1","64.16420361247947","17","13192382","4157046.5882","69083392","1586400","DRRPLongue"
"LahulYah","1737207394086","3","France","0","0","1","158","10","11497614","1460460.4000","14604604","0","TribeCivilization"
"Shintxro","1737207839198","4","France","2","3","0","174.3551401869159","6","11475102","2387096.0000","14322576","0","TribeCivilization"
"myriapod","1737208087989","1","France","0","5","3","200.37560975609756","4","11120137","3361921.5000","13447686","0","TribeCivilization"
"GlaiveTordue","1737209042937","2","France","0","2","1","509","4","3426077","1288916.2500","5155665","0","TribeCivilization"
"Hiinto","1737209494740","1","France","0","0","0",NULL,"1","1","1.0000","1","0","TribeCivilization"
"_Alienor","1704551751973","0","France","0","0","0",NULL,"1","524422","524422.0000","524422","0","LobbySurvisland"
"Cizayoxy","1737569151934","0","France","0","0","0",NULL,"2","12217625","6318478.0000","11398215","1238741","S21 - Garden of the East"
"Rodakk1","1714916279441","0","France","0","0","0",NULL,"3","20594898","7085014.6667","19774411","1480633","LKS_Bancal_S13"
"Dlocelot","1737749375621","0","France","0","0","0",NULL,"3","43917","28890.6667","86672","0","LobbySurvisland"
"TheGuill84","1738238788890","2","France","1","89","23","34.86566091954023","27","13933309","5946565.9630","141981666","18575615","S21 - Garden of the East"
"Nimbusito","1738246546989","0","Belgium","0","0","0",NULL,"14","130345","41632.9286","582861","0","S21 - Garden of the East"
"Emiiilou","1676728911681","1","France","0","3","1",NULL,"33","12703488","2577831.0303","51377795","33690629","S21 - Garden of the East"
"Mikalix","1738377123116","0","France","0","0","0",NULL,"1","188720","188720.0000","188720","0","LobbySurvisland"
"Typholz","1712430417125","0","France","19","61","7",NULL,"7","10291920","1760879.4286","11899952","426204","RDM_BHC_RR"
"DontBeAKidMathis","1738417670841","0","France","0","0","0",NULL,"2","50120","28271.0000","56542","0","RDM_BHC_RR"
"Jenna2Games","1738517358166","1","France","0","0","0",NULL,"3","2047231","715923.3333","2147770","0","S22 - Prehistoric Canyon"
"Kaosvmd_","1738780736928","1","France","1","8","10",NULL,"8","13911967","9389403.7500","70332833","4782397","S21 - Garden of the East"
"demaZelle","1738956095000","2","France","2","117","21","26.987834549878347","19","15671678","5951261.0526","95735944","17338016","S21 - Garden of the East"
"Lapin","1738956357064","2","France","0","31","34",NULL,"8","14105302","8342248.7500","61337474","5400516","S21 - Garden of the East"
"MartinPonK","1738956405818","1","France","0","31","9",NULL,"5","12562324","7728757.2000","35314702","3329084","S21 - Garden of the East"
"chloelive","1738956434403","0","Belgium","0","0","6",NULL,"6","13182568","5806166.0000","32258028","2578968","S21 - Garden of the East"
"Flannou","1738956782676","0","France","0","22","16","23.659666128163703","22","15030044","7771525.6818","148417976","22555589","S21 - Garden of the East"
"LadySundae","1738956784746","1","France","0","36","2",NULL,"4","13618252","9237960.7500","34520987","2430856","S21 - Garden of the East"
"Lvcyd","1738956807758","3","Belgium","0","131","17","25.977342314758115","29","14008428","5489058.1724","146371196","12811491","S21 - Garden of the East"
"Gom4rt_","1738957053386","1","France","0","32","2",NULL,"2","13361214","12164870.5000","22468874","1860867","S21 - Garden of the East"
"MathoX","1738957124198","2","France","0","61","24","36.46496469310158","23","14067716","7000399.8696","142667108","18342089","S21 - Garden of the East"
"Julgane","1738957444972","0","France","1","1720","14","34.242305540011195","23","13881534","6735825.8696","139554392","15369603","S21 - Garden of the East"
"JimmyBoyyy","1738957640458","1","France","0","430","20","34.92195767195767","19","13598276","6624252.2632","113749891","12110902","S21 - Garden of the East"
"Thatdanmgirll","1738957739687","2","France","0","77","8","33.41717791411043","16","14053831","7002441.7500","98753141","13285927","S21 - Garden of the East"
"AnaeeZ","1738957974884","1","France","0","44","45","31.55641166758393","19","15315601","7541008.6842","130296818","12982347","S21 - Garden of the East"
"Laupoke","1738958334254","2","France","0","105","41","28.945255474452555","13","13999396","7661862.4615","88812412","10791800","S21 - Garden of the East"
"humilityfr","1738958385740","2","France","0","51","18","20.368948247078464","27","15526310","4825604.5926","118228365","12062959","S21 - Garden of the East"
"Dragiox","1562786538889","0","France","1","0","0",NULL,"11","6763522","1414068.4545","13480766","2073987","DRRP1"
"LastStyleBender_","1739128213123","0","France","2","0","0",NULL,"7","9450887","1400442.1429","9077979","725116","DRRP1"
"Begaye","1739129785123","0","France","0","0","0",NULL,"4","10784746","2752382.0000","10129577","879951","DRRP1"
"Baleino_","1739129809704","0","France","0","0","0",NULL,"18","3606478","556817.1667","9626057","396652","DRRP1"
"XoRlL","1739129986969","0","France","0","0","0",NULL,"3","10303665","3551904.0000","10244392","411320","DRRP1"
"Neolytik","1739130064785","0","France","1","0","1",NULL,"6","9372856","1741086.3333","9986552","459966","DRRP1"
"Dalil_","1660072307127","0","France","0","0","0",NULL,"4","9460684","2545647.2500","9493776","688813","DRRP1"
"Sopaling","1739130982797","0","France","0","0","0",NULL,"5","6352963","1932992.4000","9664962","0","DRRP1"
"Parialo","1605384162898","0","France","0","0","1",NULL,"4","9480579","2408464.0000","7820944","1812912","DRRP1"
"Soffyn","1595617461123","0","France","0","0","0",NULL,"4","9270518","2347298.7500","9389195","0","DRRP1"
"Tchobax","1739131468132","0","France","0","0","1",NULL,"2","8951116","4585362.5000","5329830","3840895","DRRP1"
"Nyctalopie","1739215918215","0","France","0","1","0",NULL,"16","7990587","1140586.6250","4644691","13604695","DRRPLongue"
"Xintech","1739234442508","0","France","0","0","0",NULL,"2","332333","181223.5000","362447","0","S21 - Garden of the East"
"Arlovie_","1680962491558","0","France","0","0","9",NULL,"6","2082178","435746.6667","2614480","0","BuildSurvisland"
"Ayro_","1739973384880","0","France","0","0","2",NULL,"2","582711","297819.0000","595638","0","S22 - Prehistoric Canyon"
"SirSlimiy","1740426952495","0","France","0","0","0","32.825","17","10053408","1217723.0000","14338555","6362736","S22 - Prehistoric Canyon"
"L50123","1740466826173","0","United States","0",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Enzebii","1693326168651","0","France","0","0","0",NULL,"2","284466","283797.0000","567594","0","LobbySurvisland"
"BernusLiman","1741981912801","0","France","0","0","0",NULL,"1","2394","2394.0000","2394","0","LobbySurvisland"
"Gagab03","1677870874783","0","France","0","66","1","36.60771704180064","5","7623466","1920912.6000","9604563","0","RDM_BHC_250316"
"Trazqed","1742155169404","0","France","0","45","1","33.612794612794616","4","7546111","2297488.5000","9189954","0","RDM_BHC_250316"
"Simon27299","1742155408343","0","France","2","38","1","39.975352112676056","4","7473733","2208292.0000","8171301","661867","RDM_BHC_250316"
"Baby_Pasteque","1742207856295","0","France","0","0","0","31.533333333333335","10","475110","126840.1000","1049439","218962","RDM_BHC_250316map2"
"foxytailV4","1742238311233","0","France","0",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
